indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2022,7.068,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2019,12.622,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2017,13.489,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2015,8.227,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2011,6.952,,,0
Unemployment with advanced education (% of total labor force with advanced education),Togo,TGO,2006,11.678,,,0
