FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e76,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Institut Technique Privé Génération Obama,BP 8520,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1566261457757354 6.267400621397014),1.1566261457757354,6.267400621397014,2010.0,Maritime,Formation Professionnelle autre,Nsp,Institut Technique Privé Génération Obama
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e75,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Institut Technique Saint Esprit de Kpalime,BP 30,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2004,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (0.629019535343244 6.9066277595523875),0.629019535343244,6.9066277595523875,2004.0,Plateaux,Formation Professionnelle autre,Prive - entreprise,Institut Technique Saint Esprit de Kpalime
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e74,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,N/a,Jardin technique,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.187893333333333 6.210043333333335),1.187893333333333,6.210043333333335,,Maritime,Nsp,Nsp,Jardin technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e73,Maritime,Golfe,Golfe 1,Bè-Est,Zone Portuaire,Lycée des Métiers du Bâtiment et de l'Industrie,BP 9060 09 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.2959488276911482 6.1601398741989835),1.2959488276911482,6.1601398741989835,2015.0,Maritime,Formation Professionnelle autre,Domaine prive de l'etat ou des collectivites territoriales,Lycée des Métiers du Bâtiment et de l'Industrie
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e72,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Ahonkpe,Lycée Technique Privé Lidao,"LET Lidao, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Prive - individuel,{En construction},Formation Professionnelle autre,{autre},Non,POINT (1.1732609166750334 6.266871110971907),1.1732609166750334,6.266871110971907,2015.0,Maritime,Formation Professionnelle autre,Prive - individuel,Lycée Technique Privé Lidao
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e71,Maritime,Golfe,Golfe 6,Baguida,Baguida,Observatoire Panafricain Pour L'Ecole et Les Metier,12 BP 305,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3322273573505454 6.170746437956156),1.3322273573505454,6.170746437956156,2017.0,Maritime,Formation Professionnelle autre,Prive - individuel,Observatoire Panafricain Pour L'Ecole et Les Metier
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e70,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah,Institut Technique et Commercial Assomption,BP 69,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1970,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.1468352922079175 8.967205397863369),1.1468352922079175,8.967205397863369,1970.0,Centrale,Formation Professionnelle autre,Nsp,Institut Technique et Commercial Assomption
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6f,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Didaore,Institut Polytechnique la Dynamique,BP 03 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.1471349999999998 8.980603333333335),1.1471349999999998,8.980603333333335,2021.0,Centrale,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique la Dynamique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6e,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,Lomnava,Centre d'Information et d'Orientation Professionnelle de Sokode (CIFOP-Sokode),"Cifop Sokode, Sokode","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1192868316870201 9.009573965666993),1.1192868316870201,9.009573965666993,2011.0,Centrale,Formation Professionnelle autre,autre,Centre d'Information et d'Orientation Professionnelle de Sokode (CIFOP-Sokode)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6d,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah,Centre d'Enseignement Technique et Professionnel de Sokode,BP 339,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (1.1445599999999996 8.970838333333338),1.1445599999999996,8.970838333333338,2001.0,Centrale,CAP,Prive - individuel,Centre d'Enseignement Technique et Professionnel de Sokode
