FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e56,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Minamadou,Institut Technique la Colombe de Dieu,"Institut Technique la Colombe de Dieu, Agoe-Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1996,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1944676102948641 6.2250256237700325),1.1944676102948641,6.2250256237700325,1996.0,Maritime,Formation Professionnelle autre,Nsp,Institut Technique la Colombe de Dieu
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e55,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble,Complexe Scolaire Evolution Lycée,"Cs Evolution Lycee, Togblekope","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Pissotieres},Non,POINT (1.2215240817411939 6.262172734933698),1.2215240817411939,6.262172734933698,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Evolution Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e54,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Lome Agoenyieve Zilidji,Complexe Scolaire Lallire Dorkenoo College Technique,"Cspl de Lallire Dorkenoo Lycee Technique, Agoenyieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1988948017629375 6.257831682593802),1.1988948017629375,6.257831682593802,2010.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Lallire Dorkenoo College Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e53,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cleve,Institut Technique la Source,"Institut Tchnique La Source, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Prive - individuel,Nsp,Nsp,{WCs},Oui,POINT (1.1976470554450809 6.224360906279641),1.1976470554450809,6.224360906279641,2014.0,Maritime,Nsp,Prive - individuel,Institut Technique la Source
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e52,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedo,Institut Technique le Heros,"Institut Technique le Heros, Aflao_Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1955282899691908 6.186114101264609),1.1955282899691908,6.186114101264609,2005.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique le Heros
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e51,Maritime,Golfe,Golfe 6,Baguida,Kpogan Azitigome,Institut d'Education Saint Esprit de Kpogan Lycée,"Cs Saint Esprit de Kpogan Lycee, Baguida","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2014,Prive - individuel,{Construit et Utilise},Nsp,Nsp,Non,POINT (1.3781616666666667 6.188823333333334),1.3781616666666667,6.188823333333334,2014.0,Maritime,Nsp,Prive - individuel,Institut d'Education Saint Esprit de Kpogan Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e50,Maritime,Golfe,Golfe 6,Baguida,Baguida/yovokome,Institut Martessi Lycée Technique,"Lycee Technique Institut Martessi, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3304078536572177 6.169472405522721),1.3304078536572177,6.169472405522721,2008.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Martessi Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4f,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Lycée d'Enseignement Technique Jumau ITA,"Lycee Iet Jumau Ita, Aflao Gakl","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.190318134070243 6.1923923558781455),1.190318134070243,6.1923923558781455,2011.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Lycée d'Enseignement Technique Jumau ITA
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Institut Technique El-Rohi,"Institut Technique El-Rohi, Agoe-Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1939481077022156 6.217842822275929),1.1939481077022156,6.217842822275929,2007.0,Maritime,Formation Professionnelle autre,Nsp,Institut Technique El-Rohi
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4d,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togblekope Atchanve,Complexe Scolaire Prestige Esso Lycée,"Cs Prestige Lycee, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,"{Inacheve,En construction}",Formation Professionnelle autre,Nsp,Non,POINT (1.2098193468311587 6.279125715716909),1.2098193468311587,6.279125715716909,2011.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Prestige Esso Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4c,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Zongo,Complexe Scolaire le Bon Samaritain Lycée Technique,"Lycee Technique Le Bon Samaritain, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.19885286686416 6.268504811626918),1.19885286686416,6.268504811626918,,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire le Bon Samaritain Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4b,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Togble Zongo,Complexe Scolaire Ipr Az Haz Nour Lycée Technique,"Lycee Technique Ipr Az Haz Nour, Togblekope","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,Nsp,Formation Professionnelle autre,Nsp,Non,POINT (1.189309787384173 6.2671087188507055),1.189309787384173,6.2671087188507055,2021.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Ipr Az Haz Nour Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e4a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Atsanve,institut Polyvalent Laïc le Prestige du Savoir Lycée,"IPL le Prestige du Savoir Lycee, Agoe","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Nsp,{En construction},CAP,"{WCs,Pissotieres}",Non,POINT (1.213021995541966 6.226906368162294),1.213021995541966,6.226906368162294,2018.0,Maritime,CAP,Nsp,institut Polyvalent Laïc le Prestige du Savoir Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e49,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedji,Complexe Scolaire BG Poussinets,"Institut Technique Bg Poussinets, gbenyedji","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation profesionnelle autre,{Latrines a eau},Non,POINT (1.2553756290276121 6.147460135434001),1.2553756290276121,6.147460135434001,2014.0,Maritime,Formation profesionnelle autre,Prive - individuel,Complexe Scolaire BG Poussinets
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e48,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedji,Complexe Scolaire BG Poussinets,"Institut Technique Bg Poussinets, Be","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2553974000000003 6.147201309317102),1.2553974000000003,6.147201309317102,2014.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire BG Poussinets
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e47,Maritime,Golfe,Golfe 6,Baguida,Adamavo,Institut Technique et Professionnel la Vision,"Itp La Vision, Baguida","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.309138761699091 6.166778086422363),1.309138761699091,6.166778086422363,2019.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique et Professionnel la Vision
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e46,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe Agblegan,Institut Prince Bedy,"Institut Prince Bedy, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,Prive - individuel,{En construction},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1565100000000008 6.181451666666667),1.1565100000000008,6.181451666666667,1997.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Prince Bedy
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e45,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Complexe Scolaire Privé Payarama Lycée Technique,"Csp Payarama Lycee Technique, Agoenyieve 1","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},Nsp,{Latrines a eau},Oui,POINT (1.196181696098755 6.246787677180356),1.196181696098755,6.246787677180356,2001.0,Maritime,Nsp,Prive - individuel,Complexe Scolaire Privé Payarama Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e44,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedzi,Complexe Scolaire Item Lycée Technique,"Lycee Technique Item, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1992,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2520536847565191 6.147534894823467),1.2520536847565191,6.147534894823467,1992.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Item Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e43,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Collège Technique Commercial Les Elephanteaux,2489,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1995,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.1869388891621009 6.208906727180581),1.1869388891621009,6.208906727180581,1995.0,Maritime,Formation Professionnelle autre,Prive - individuel,Collège Technique Commercial Les Elephanteaux
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e42,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Institut Technique Vic Intelligentia,"Cs Vic Intelligentia, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.3467259632773299 6.1703258741547256),1.3467259632773299,6.1703258741547256,2002.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique Vic Intelligentia
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e41,Maritime,Golfe,Golfe 6,Baguida,Olibokope,Complexe Scolaire la Puissance de Dieu Lycée Technique,"Lycee Technique Cs La Puissance de Dieu, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,"{En construction,Construit et Utilise}",Formation Professionnelle autre,Nsp,Non,POINT (1.349396392935005 6.185142197085515),1.349396392935005,6.185142197085515,2020.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire la Puissance de Dieu Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e40,Maritime,Golfe,Golfe 1,Bè-Est,Bekpota,Complexe Scolaire le Savoir Lycée Technique,01 BP 750,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.264609975669082 6.15989403034563),1.264609975669082,6.15989403034563,2000.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Complexe Scolaire le Savoir Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3f,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Institut Technique et Professionnel Ebenezer Le Grand Lycée,"Itm Ebenezer le Grand Lycee, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1373864052688005 6.228697283825817),1.1373864052688005,6.228697283825817,2019.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique et Professionnel Ebenezer Le Grand Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Institut Polytechnique la Paix,BP 10085,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.1993083633749195 6.220751618506628),1.1993083633749195,6.220751618506628,2001.0,Maritime,CAP,Prive - individuel,Institut Polytechnique la Paix
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Anome,GS Rm Annexe Lycée Technique,BP 12051,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.187637595574649 6.209155407150044),1.187637595574649,6.209155407150044,2018.0,Maritime,Formation Professionnelle autre,Prive - individuel,GS Rm Annexe Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Institut Polytechnique la Grace de Dieu,"IP La Grace de Diei, Agoe-Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1981151847958773 6.2307329501557),1.1981151847958773,6.2307329501557,2004.0,Maritime,Formation Professionnelle autre,Nsp,Institut Polytechnique la Grace de Dieu
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3b,Maritime,Golfe,Golfe 1,Bè-Est,Lome Kagnikope,Complexe Scolaire Baptiste de Kagnikope Lycée Technique,09 BP9034 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2953909502047685 6.172786419363798),1.2953909502047685,6.172786419363798,2016.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Complexe Scolaire Baptiste de Kagnikope Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e3a,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Akato,Complexe Scolaire Nouvelle Ecole des Elites Amewouho Lycée,"Cs Nouvelle Ecole des Elites Amewouho Lycée, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.0998144912944319 6.1882902884732784),1.0998144912944319,6.1882902884732784,2018.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Nouvelle Ecole des Elites Amewouho Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e39,Maritime,Golfe,Golfe 4,Amoutivé,Adawalato,College Notre Dame du Sacré Coeur Lycée Technique,BP 511,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,autre,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Oui,POINT (1.2298486720172994 6.127274311070356),1.2298486720172994,6.127274311070356,2002.0,Maritime,Formation Professionnelle autre,autre,College Notre Dame du Sacré Coeur Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e38,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Kohe,Complexe Scolaire le Savoir de Kohe Lycée,"Cs Le Savoir de Kohe Lycee, Sanguera","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.142964015702884 6.221895984191705),1.142964015702884,6.221895984191705,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire le Savoir de Kohe Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e37,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,Institut Polytechnique de Batiment et des Travaux Publics(IPBTP),BP 60625,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{En construction},Formation Professionnelle autre,{WCs},Non,POINT (1.2096916666666666 6.134446666666665),1.2096916666666666,6.134446666666665,2001.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique de Batiment et des Travaux Publics(IPBTP)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e36,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Segbe-douane,Institut Technique Saint Joseph de Segbe,01 BP 227,"{Mardi,Mercredi,Lundi,jeudi,Vendredi}",2019,Prive - individuel,{En construction},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1130524321381419 6.194329723632431),1.1130524321381419,6.194329723632431,2019.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique Saint Joseph de Segbe
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e35,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Institut Technique et Commercial La Mémoire,"Lycee Technique La Memoire, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2626529980653591 6.143974660681774),1.2626529980653591,6.143974660681774,2004.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique et Commercial La Mémoire
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e34,Maritime,Golfe,Golfe 2,Bè-Centre,Novissi,Institut Technique Nouvelle Generation,"Boulevard Jean Paul ll, Novissi","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.2346699398124126 6.1730909596977455),1.2346699398124126,6.1730909596977455,2003.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Institut Technique Nouvelle Generation
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e33,Maritime,Golfe,Golfe 3,Bè-Ouest,Dogbeavou,Institut Technique Notre Dame de l'Eglise (INTDE),BP 8019,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1971,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.210534431666232 6.1493679752377695),1.210534431666232,6.1493679752377695,1971.0,Maritime,Formation Professionnelle autre,autre,Institut Technique Notre Dame de l'Eglise (INTDE)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e32,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Ablogome,Complexe Scolaire la Maitrise Lycée Technique,BP 3618,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1998,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1601616568998387 6.185269816616314),1.1601616568998387,6.185269816616314,1998.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire la Maitrise Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e31,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin Hôpital,Institut d'Enseignement Technique et Informatique (ISETI),"(ESETI) Institut de L'Enseignement Technique et Imformatique, Amoutieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2112823610344698 6.1403108717958865),1.2112823610344698,6.1403108717958865,2005.0,Maritime,CAP,Prive - individuel,Institut d'Enseignement Technique et Informatique (ISETI)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e30,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Institut Technique Amitié Concorde,BP 8292,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1401726536120638 6.194521016266845),1.1401726536120638,6.194521016266845,2010.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Institut Technique Amitié Concorde
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2f,Kara,Kozah,Kozah 1,Commune De Kara,Kara Sud,Ecole Hotel Alcor Mira,"Alcor Mira, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Nsp,{Construit et Utilise},CAP,{Latrines a eau},Non,POINT (1.1954648745818757 9.540136203731798),1.1954648745818757,9.540136203731798,2013.0,Kara,CAP,Nsp,Ecole Hotel Alcor Mira
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2e,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin N'tifafa Kome,Institut Technique Saint Joseph de Lome,"Institut Technique Saint Joseph de Lome, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,autre,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.2325827558770828 6.148214322915355),1.2325827558770828,6.148214322915355,2002.0,Maritime,Formation Professionnelle autre,autre,Institut Technique Saint Joseph de Lome
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kove,institut Polyvalent Laïc les Dinosaures Annexe,"IPL les Dinosaures Annexe, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1652695258682921 6.24392429062836),1.1652695258682921,6.24392429062836,2014.0,Maritime,Formation Professionnelle autre,Nsp,institut Polyvalent Laïc les Dinosaures Annexe
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2c,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Institut Technique Privee Laique les Victorieux,23 BP 123 - Lomé,"{jeudi,Vendredi,Samedi,Dimanche,Mercredi,Mardi,Lundi}",2014,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1321273746394713 6.233744141874236),1.1321273746394713,6.233744141874236,2014.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Institut Technique Privee Laique les Victorieux
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2b,Maritime,Golfe,Golfe 1,Bè-Est,Kegue,Institut Technique Dino Golo,BP 10295,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Pissotieres}",Non,POINT (1.2379210055906513 6.208446348535124),1.2379210055906513,6.208446348535124,2008.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Institut Technique Dino Golo
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e2a,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado Agotime,Institut Technique le Semeur Divin Sagbado,"Formation Technique le Semeur Divin Sagbado, Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1362561265871585 6.1800796863949286),1.1362561265871585,6.1800796863949286,2017.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique le Semeur Divin Sagbado
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e29,Maritime,Golfe,Golfe 1,Bè-Est,Kanyikope,College Technique le Revelateur des Talents Lycée,BP 2928,"{Lundi,Mardi,Mercredi,jeudi}",2006,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2962235827782578 6.164833353509746),1.2962235827782578,6.164833353509746,2006.0,Maritime,Formation Professionnelle autre,Prive - individuel,College Technique le Revelateur des Talents Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e28,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Atikankope,Complexe Scolaire les Lumieres,"Cs Les Lumieres, Sanguera","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Nsp,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1232316593856786 6.229757385123483),1.1232316593856786,6.229757385123483,2015.0,Maritime,Formation Professionnelle autre,Nsp,Complexe Scolaire les Lumieres
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e27,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Lycée Technique La Clemence Divine,"Glycee Technique la Clemence Divine, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.178882862508754 6.2416004925752),1.178882862508754,6.2416004925752,2005.0,Maritime,CAP,Prive - individuel,Lycée Technique La Clemence Divine
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e26,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Apedokoe,Institut Polytechnique du Golfe,"Institut Polytechnique du Golfe, Aflao Sagbado","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1456253763531616 6.202656359808167),1.1456253763531616,6.202656359808167,2005.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique du Golfe
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e25,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranavoe,Institut Technique le Reveil D'Or,"Institut Technique le Reveil D'Or, Amoutieve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - individuel,{Construit et Utilise},CAP,{WCs},Non,POINT (1.2475486405888374 6.198307627343856),1.2475486405888374,6.198307627343856,2003.0,Maritime,CAP,Prive - individuel,Institut Technique le Reveil D'Or
